Date,CONF_Value,Daily_Change
2019-12-31,128.2,1.1
2020-01-01,128.2,1.1
2020-01-02,128.2,1.1
2020-01-03,128.2,1.1
2020-01-04,128.2,1.1
2020-01-05,128.2,1.1
2020-01-06,128.2,1.1
2020-01-07,128.2,1.1
2020-01-08,128.2,1.1
2020-01-09,128.2,1.1
2020-01-10,128.2,1.1
2020-01-11,128.2,1.1
2020-01-12,128.2,1.1
2020-01-13,128.2,1.1
2020-01-14,128.2,1.1
2020-01-15,128.2,1.1
2020-01-16,128.2,1.1
2020-01-17,128.2,1.1
2020-01-18,128.2,1.1
2020-01-19,128.2,1.1
2020-01-20,128.2,1.1
2020-01-21,128.2,1.1
2020-01-22,128.2,1.1
2020-01-23,128.2,1.1
2020-01-24,128.2,1.1
2020-01-25,128.2,1.1
2020-01-26,128.2,1.1
2020-01-27,128.2,1.1
2020-01-28,128.2,1.1
2020-01-29,128.2,1.1
2020-01-30,128.2,1.1
2020-01-31,130.4,1.72
2020-02-01,130.4,1.72
2020-02-02,130.4,1.72
2020-02-03,130.4,1.72
2020-02-04,130.4,1.72
2020-02-05,130.4,1.72
2020-02-06,130.4,1.72
2020-02-07,130.4,1.72
2020-02-08,130.4,1.72
2020-02-09,130.4,1.72
2020-02-10,130.4,1.72
2020-02-11,130.4,1.72
2020-02-12,130.4,1.72
2020-02-13,130.4,1.72
2020-02-14,130.4,1.72
2020-02-15,130.4,1.72
2020-02-16,130.4,1.72
2020-02-17,130.4,1.72
2020-02-18,130.4,1.72
2020-02-19,130.4,1.72
2020-02-20,130.4,1.72
2020-02-21,130.4,1.72
2020-02-22,130.4,1.72
2020-02-23,130.4,1.72
2020-02-24,130.4,1.72
2020-02-25,130.4,1.72
2020-02-26,130.4,1.72
2020-02-27,130.4,1.72
2020-02-28,130.4,1.72
2020-02-29,132.6,1.69
2020-03-01,132.6,1.69
2020-03-02,132.6,1.69
2020-03-03,132.6,1.69
2020-03-04,132.6,1.69
2020-03-05,132.6,1.69
2020-03-06,132.6,1.69
2020-03-07,132.6,1.69
2020-03-08,132.6,1.69
2020-03-09,132.6,1.69
2020-03-10,132.6,1.69
2020-03-11,132.6,1.69
2020-03-12,132.6,1.69
2020-03-13,132.6,1.69
2020-03-14,132.6,1.69
2020-03-15,132.6,1.69
2020-03-16,132.6,1.69
2020-03-17,132.6,1.69
2020-03-18,132.6,1.69
2020-03-19,132.6,1.69
2020-03-20,132.6,1.69
2020-03-21,132.6,1.69
2020-03-22,132.6,1.69
2020-03-23,132.6,1.69
2020-03-24,132.6,1.69
2020-03-25,132.6,1.69
2020-03-26,132.6,1.69
2020-03-27,132.6,1.69
2020-03-28,132.6,1.69
2020-03-29,132.6,1.69
2020-03-30,132.6,1.69
2020-03-31,118.8,-10.41
2020-04-01,118.8,-10.41
2020-04-02,118.8,-10.41
2020-04-03,118.8,-10.41
2020-04-04,118.8,-10.41
2020-04-05,118.8,-10.41
2020-04-06,118.8,-10.41
2020-04-07,118.8,-10.41
2020-04-08,118.8,-10.41
2020-04-09,118.8,-10.41
