Date,M2_Value,Daily_Change
2019-12-31,15334.3,0.4
2020-01-01,15334.3,0.4
2020-01-02,15334.3,0.4
2020-01-03,15334.3,0.4
2020-01-04,15334.3,0.4
2020-01-05,15334.3,0.4
2020-01-06,15334.3,0.4
2020-01-07,15334.3,0.4
2020-01-08,15334.3,0.4
2020-01-09,15334.3,0.4
2020-01-10,15334.3,0.4
2020-01-11,15334.3,0.4
2020-01-12,15334.3,0.4
2020-01-13,15334.3,0.4
2020-01-14,15334.3,0.4
2020-01-15,15334.3,0.4
2020-01-16,15334.3,0.4
2020-01-17,15334.3,0.4
2020-01-18,15334.3,0.4
2020-01-19,15334.3,0.4
2020-01-20,15334.3,0.4
2020-01-21,15334.3,0.4
2020-01-22,15334.3,0.4
2020-01-23,15334.3,0.4
2020-01-24,15334.3,0.4
2020-01-25,15334.3,0.4
2020-01-26,15334.3,0.4
2020-01-27,15334.3,0.4
2020-01-28,15334.3,0.4
2020-01-29,15334.3,0.4
2020-01-30,15334.3,0.4
2020-01-31,15401.3,0.44
2020-02-01,15401.3,0.44
2020-02-02,15401.3,0.44
2020-02-03,15401.3,0.44
2020-02-04,15401.3,0.44
2020-02-05,15401.3,0.44
2020-02-06,15401.3,0.44
2020-02-07,15401.3,0.44
2020-02-08,15401.3,0.44
2020-02-09,15401.3,0.44
2020-02-10,15401.3,0.44
2020-02-11,15401.3,0.44
2020-02-12,15401.3,0.44
2020-02-13,15401.3,0.44
2020-02-14,15401.3,0.44
2020-02-15,15401.3,0.44
2020-02-16,15401.3,0.44
2020-02-17,15401.3,0.44
2020-02-18,15401.3,0.44
2020-02-19,15401.3,0.44
2020-02-20,15401.3,0.44
2020-02-21,15401.3,0.44
2020-02-22,15401.3,0.44
2020-02-23,15401.3,0.44
2020-02-24,15401.3,0.44
2020-02-25,15401.3,0.44
2020-02-26,15401.3,0.44
2020-02-27,15401.3,0.44
2020-02-28,15401.3,0.44
2020-02-29,15453.8,0.34
2020-03-01,15453.8,0.34
2020-03-02,15453.8,0.34
2020-03-03,15453.8,0.34
2020-03-04,15453.8,0.34
2020-03-05,15453.8,0.34
2020-03-06,15453.8,0.34
2020-03-07,15453.8,0.34
2020-03-08,15453.8,0.34
2020-03-09,15453.8,0.34
2020-03-10,15453.8,0.34
2020-03-11,15453.8,0.34
2020-03-12,15453.8,0.34
2020-03-13,15453.8,0.34
2020-03-14,15453.8,0.34
2020-03-15,15453.8,0.34
2020-03-16,15453.8,0.34
2020-03-17,15453.8,0.34
2020-03-18,15453.8,0.34
2020-03-19,15453.8,0.34
2020-03-20,15453.8,0.34
2020-03-21,15453.8,0.34
2020-03-22,15453.8,0.34
2020-03-23,15453.8,0.34
2020-03-24,15453.8,0.34
2020-03-25,15453.8,0.34
2020-03-26,15453.8,0.34
2020-03-27,15453.8,0.34
2020-03-28,15453.8,0.34
2020-03-29,15453.8,0.34
2020-03-30,15453.8,0.34
2020-03-31,15980.6,3.41
2020-04-01,15980.6,3.41
2020-04-02,15980.6,3.41
2020-04-03,15980.6,3.41
2020-04-04,15980.6,3.41
2020-04-05,15980.6,3.41
2020-04-06,15980.6,3.41
2020-04-07,15980.6,3.41
2020-04-08,15980.6,3.41
2020-04-09,15980.6,3.41
2020-04-10,15980.6,3.41
2020-04-11,15980.6,3.41
2020-04-12,15980.6,3.41
2020-04-13,15980.6,3.41
2020-04-14,15980.6,3.41
2020-04-15,15980.6,3.41
2020-04-16,15980.6,3.41
2020-04-17,15980.6,3.41
2020-04-18,15980.6,3.41
2020-04-19,15980.6,3.41
2020-04-20,15980.6,3.41
2020-04-21,15980.6,3.41
2020-04-22,15980.6,3.41
2020-04-23,15980.6,3.41
2020-04-24,15980.6,3.41
2020-04-25,15980.6,3.41
2020-04-26,15980.6,3.41
2020-04-27,15980.6,3.41
2020-04-28,15980.6,3.41
2020-04-29,15980.6,3.41
2020-04-30,16999.0,6.37
