Date,PX_LAST,Rate_of_Change
2025-03-05,0.54,-0.11475409836065564
2025-03-04,0.61,-0.046875
2025-03-03,0.64,0.049180327868852514
2025-02-28,0.61,-0.10294117647058831
2025-02-27,0.68,0.13333333333333353
2025-02-26,0.6,-0.0625
2025-02-25,0.64,0.10344827586206917
2025-02-24,0.58,-0.07936507936507942
2025-02-21,0.63,0.06779661016949157
2025-02-20,0.59,-0.01666666666666672
2025-02-19,0.6,0.19999999999999996
2025-02-18,0.5,0.08695652173913038
2025-02-14,0.46,-0.4025974025974026
2025-02-13,0.77,0.375
2025-02-12,0.56,0.05660377358490565
2025-02-11,0.53,0.1276595744680853
2025-02-10,0.47,-0.09615384615384626
2025-02-07,0.52,-0.08771929824561397
2025-02-06,0.57,0.05555555555555536
2025-02-05,0.54,0.05882352941176472
2025-02-04,0.51,-0.05555555555555558
2025-02-03,0.54,0.10204081632653073
2025-01-31,0.49,-0.05769230769230771
2025-01-30,0.52,-0.11864406779661008
2025-01-29,0.59,0.1132075471698113
2025-01-28,0.53,-0.07017543859649111
2025-01-27,0.57,0.09615384615384603
2025-01-24,0.52,-0.018867924528301883
2025-01-23,0.53,0.08163265306122458
2025-01-22,0.49,0.06521739130434767
2025-01-21,0.46,0.06976744186046524
2025-01-17,0.43,-0.5425531914893618
2025-01-16,0.94,0.6206896551724139
2025-01-15,0.58,0.41463414634146334
2025-01-14,0.41,-0.31666666666666665
2025-01-13,0.6,-0.1428571428571428
2025-01-10,0.7,0.16666666666666674
2025-01-08,0.6,0.33333333333333326
2025-01-07,0.45,0.0714285714285714
2025-01-06,0.42,-0.06666666666666676
2025-01-03,0.45,-0.4375
2025-01-02,0.8,0.7391304347826086
2024-12-31,0.46,-0.26984126984126977
2024-12-30,0.63,-0.059701492537313494
2024-12-27,0.67,0.3673469387755104
2024-12-26,0.49,-0.03921568627450989
2024-12-24,0.51,0.0625
2024-12-23,0.48,-0.11111111111111116
2024-12-20,0.54,-0.12903225806451601
2024-12-19,0.62,0.37777777777777777
2024-12-18,0.45,-0.08163265306122447
2024-12-17,0.49,-0.03921568627450989
2024-12-16,0.51,-0.1206896551724137
2024-12-13,0.58,-0.1470588235294119
2024-12-12,0.68,0.28301886792452824
2024-12-11,0.53,0.10416666666666674
2024-12-10,0.48,-0.14285714285714302
2024-12-09,0.56,0.03703703703703698
2024-12-06,0.54,0.08000000000000007
2024-12-05,0.5,0.020408163265306145
2024-12-04,0.49,-0.10909090909090913
2024-12-03,0.55,-0.11290322580645151
2024-12-02,0.62,0.10714285714285698
2024-11-29,0.56,0.0
2024-11-27,0.56,0.16666666666666674
2024-11-26,0.48,0.0
2024-11-25,0.48,-0.05882352941176472
2024-11-22,0.51,-0.037735849056603765
2024-11-21,0.53,-0.08620689655172398
2024-11-20,0.58,-0.06451612903225812
2024-11-19,0.62,0.21568627450980382
2024-11-18,0.51,-0.1499999999999999
2024-11-15,0.6,-0.04761904761904767
2024-11-14,0.63,0.16666666666666652
2024-11-13,0.54,0.08000000000000007
2024-11-12,0.5,0.04166666666666674
2024-11-11,0.48,-0.12727272727272743
2024-11-08,0.55,0.17021276595744705
2024-11-07,0.47,-0.12962962962962976
2024-11-06,0.54,-0.12903225806451601
2024-11-05,0.62,0.016393442622950838
2024-11-04,0.61,-0.14084507042253513
2024-11-01,0.71,0.12698412698412698
2024-10-31,0.63,0.0
2024-10-30,0.63,0.016129032258064502
2024-10-29,0.62,0.06896551724137945
2024-10-28,0.58,0.13725490196078427
2024-10-25,0.51,-0.07272727272727275
2024-10-24,0.55,-0.051724137931034364
2024-10-23,0.58,-0.016949152542372947
2024-10-22,0.59,0.20408163265306123
2024-10-21,0.49,0.16666666666666674
2024-10-18,0.42,-0.4545454545454546
2024-10-17,0.77,0.35087719298245634
2024-10-16,0.57,0.0
2024-10-15,0.57,0.1399999999999999
2024-10-14,0.5,0.13636363636363646
2024-10-11,0.44,-0.10204081632653061
2024-10-10,0.49,-0.1694915254237288
2024-10-09,0.59,0.09259259259259256
2024-10-08,0.54,-0.018181818181818188
2024-10-07,0.55,0.14583333333333348
2024-10-04,0.48,-0.323943661971831
2024-10-03,0.71,0.26785714285714257
2024-10-02,0.56,0.0181818181818183
2024-10-01,0.55,0.0
2024-09-30,0.55,0.037735849056603765
2024-09-27,0.53,0.06000000000000005
2024-09-26,0.5,-0.03846153846153855
2024-09-25,0.52,-0.03703703703703709
2024-09-24,0.54,0.10204081632653073
2024-09-23,0.49,-0.05769230769230771
2024-09-20,0.52,-0.3246753246753247
2024-09-19,0.77,0.2622950819672132
2024-09-18,0.61,0.196078431372549
2024-09-17,0.51,-0.019230769230769273
2024-09-16,0.52,-0.03703703703703709
2024-09-13,0.54,-0.05263157894736825
2024-09-12,0.57,-0.050000000000000044
2024-09-11,0.6,-0.13043478260869557
2024-09-10,0.69,0.078125
2024-09-09,0.64,-0.1466666666666666
2024-09-06,0.75,-0.23469387755102045
2024-09-05,0.98,0.34246575342465757
2024-09-04,0.73,0.0
2024-09-03,0.73,0.21666666666666679
2024-08-30,0.6,-0.032258064516129115
2024-08-29,0.62,-0.03125
2024-08-28,0.64,-0.08571428571428563
2024-08-27,0.7,0.22807017543859653
2024-08-26,0.57,0.036363636363636154
2024-08-23,0.55,-0.2567567567567567
2024-08-22,0.74,0.2542372881355932
2024-08-21,0.59,0.0
2024-08-20,0.59,0.25531914893617014
2024-08-19,0.47,-0.07843137254901966
2024-08-16,0.51,-0.1206896551724137
2024-08-15,0.58,-0.1343283582089554
2024-08-14,0.67,0.0
2024-08-13,0.67,-0.014705882352941235
2024-08-12,0.68,0.13333333333333353
2024-08-09,0.6,-0.38144329896907214
2024-08-08,0.97,0.4057971014492754
2024-08-07,0.69,-0.04166666666666674
2024-08-06,0.72,-0.06493506493506496
2024-08-05,0.77,-0.04938271604938271
2024-08-02,0.81,0.265625
2024-08-01,0.64,0.0847457627118644
2024-07-31,0.59,-0.13235294117647067
2024-07-30,0.68,0.04615384615384621
2024-07-29,0.65,-0.1095890410958904
2024-07-26,0.73,-0.08750000000000002
2024-07-25,0.8,0.14285714285714302
2024-07-24,0.7,0.11111111111111094
2024-07-23,0.63,0.14545454545454528
2024-07-22,0.55,-0.08333333333333326
2024-07-19,0.6,0.0
2024-07-18,0.6,0.13207547169811318
2024-07-17,0.53,0.08163265306122458
2024-07-16,0.49,-0.05769230769230771
2024-07-15,0.52,-0.08771929824561397
2024-07-12,0.57,-0.06557377049180335
2024-07-11,0.61,0.1090909090909089
2024-07-10,0.55,-0.0350877192982455
2024-07-09,0.57,0.11764705882352922
2024-07-08,0.51,-0.0892857142857143
2024-07-05,0.56,0.0980392156862746
2024-07-03,0.51,-0.27142857142857135
2024-07-02,0.7,0.24999999999999978
2024-07-01,0.56,-0.12499999999999989
2024-06-28,0.64,-0.1578947368421053
2024-06-27,0.76,0.40740740740740744
2024-06-26,0.54,-0.08474576271186429
2024-06-25,0.59,0.01724137931034475
2024-06-24,0.58,-0.07936507936507942
2024-06-21,0.63,0.016129032258064502
2024-06-20,0.62,0.06896551724137945
2024-06-18,0.58,-0.06451612903225812
2024-06-17,0.62,0.06896551724137945
2024-06-14,0.58,-0.33333333333333337
2024-06-13,0.87,0.641509433962264
2024-06-12,0.53,-0.10169491525423724
2024-06-11,0.59,0.01724137931034475
2024-06-10,0.58,0.0
2024-06-07,0.58,-0.016949152542372947
2024-06-06,0.59,-0.21333333333333337
2024-06-05,0.75,0.2295081967213115
2024-06-04,0.61,0.051724137931034475
2024-06-03,0.58,-0.20547945205479456
2024-05-31,0.73,-0.16091954022988508
2024-05-30,0.87,0.27941176470588225
2024-05-29,0.68,0.2142857142857142
2024-05-28,0.56,-0.16417910447761186
2024-05-24,0.67,0.030769230769230882
2024-05-23,0.65,0.14035087719298267
2024-05-22,0.57,-0.03389830508474578
2024-05-21,0.59,0.1132075471698113
2024-05-20,0.53,-0.01851851851851849
2024-05-17,0.54,-0.08474576271186429
2024-05-16,0.59,0.03508771929824572
2024-05-15,0.57,0.07547169811320731
2024-05-14,0.53,-0.07017543859649111
2024-05-13,0.57,-0.050000000000000044
2024-05-10,0.6,0.09090909090909083
2024-05-09,0.55,-0.20289855072463758
2024-05-08,0.69,-0.04166666666666674
2024-05-07,0.72,0.1428571428571428
2024-05-06,0.63,0.050000000000000044
2024-05-03,0.6,-0.17808219178082196
2024-05-02,0.73,-0.13095238095238093
2024-05-01,0.84,0.3999999999999999
2024-04-30,0.6,-0.016393442622950838
2024-04-29,0.61,0.1090909090909089
2024-04-26,0.55,-0.19117647058823528
2024-04-25,0.68,-0.042253521126760396
2024-04-24,0.71,0.0923076923076922
2024-04-23,0.65,0.14035087719298267
2024-04-22,0.57,-0.1230769230769232
2024-04-19,0.65,-0.044117647058823595
2024-04-18,0.68,-0.3982300884955752
2024-04-17,1.13,0.547945205479452
2024-04-16,0.73,0.140625
2024-04-15,0.64,-0.05882352941176472
2024-04-12,0.68,0.07936507936507953
2024-04-11,0.63,0.0
2024-04-10,0.63,-0.125
2024-04-09,0.72,0.125
2024-04-08,0.64,-0.09859154929577463
2024-04-05,0.71,0.04411764705882337
2024-04-04,0.68,-0.014492753623188248
2024-04-03,0.69,0.045454545454545414
2024-04-02,0.66,0.01538461538461533
2024-04-01,0.65,0.1607142857142856
2024-03-28,0.56,-0.16417910447761186
2024-03-27,0.67,0.046875
2024-03-26,0.64,-0.08571428571428563
2024-03-25,0.7,0.07692307692307687
2024-03-22,0.65,-0.02985074626865669
2024-03-21,0.67,-0.06944444444444431
2024-03-20,0.72,0.09090909090909083
2024-03-19,0.66,0.32000000000000006
2024-03-18,0.5,-0.180327868852459
2024-03-15,0.61,-0.031746031746031744
2024-03-14,0.63,0.06779661016949157
2024-03-13,0.59,-0.13235294117647067
2024-03-12,0.68,0.0
2024-03-11,0.68,0.2142857142857142
2024-03-08,0.56,0.0
2024-03-07,0.56,-0.32530120481927705
2024-03-06,0.83,0.18571428571428572
2024-03-05,0.7,0.09375
2024-03-04,0.64,0.06666666666666665
2024-03-01,0.6,-0.0625
2024-02-29,0.64,0.3333333333333335
2024-02-28,0.48,-0.21311475409836067
2024-02-27,0.61,-0.12857142857142856
2024-02-26,0.7,0.06060606060606055
2024-02-23,0.66,0.0
2024-02-22,0.66,-0.08333333333333326
2024-02-21,0.72,0.30909090909090886
2024-02-20,0.55,0.037735849056603765
2024-02-16,0.53,-0.01851851851851849
2024-02-15,0.54,-0.05263157894736825
2024-02-14,0.57,-0.1230769230769232
2024-02-13,0.65,0.18181818181818166
2024-02-12,0.55,0.14583333333333348
2024-02-09,0.48,-0.22580645161290325
2024-02-08,0.62,-0.11428571428571421
2024-02-07,0.7,-0.04109589041095896
2024-02-06,0.73,0.12307692307692308
2024-02-05,0.65,0.048387096774193505
2024-02-02,0.62,-0.03125
2024-02-01,0.64,0.0
2024-01-31,0.64,-0.030303030303030276
2024-01-30,0.66,0.1578947368421053
2024-01-29,0.57,-0.13636363636363646
2024-01-26,0.66,-0.014925373134328401
2024-01-25,0.67,0.0
2024-01-24,0.67,0.17543859649122817
2024-01-23,0.57,0.16326530612244894
2024-01-22,0.49,-0.1694915254237288
2024-01-19,0.59,-0.14492753623188404
2024-01-18,0.69,0.0
2024-01-17,0.69,-0.1785714285714286
2024-01-16,0.84,0.012048192771084265
2024-01-12,0.83,0.03749999999999987
2024-01-11,0.8,-0.4838709677419355
2024-01-10,1.55,1.540983606557377
2024-01-09,0.61,0.033898305084745894
2024-01-08,0.59,-0.15714285714285714
2024-01-05,0.7,0.01449275362318847
2024-01-04,0.69,0.0
2024-01-03,0.69,0.06153846153846132
2024-01-02,0.65,0.0
2023-12-29,0.65,-0.015151515151515138
2023-12-28,0.66,-0.3124999999999999
2023-12-27,0.96,0.714285714285714
2023-12-26,0.56,0.1200000000000001
2023-12-22,0.5,-0.13793103448275856
2023-12-21,0.58,-0.016949152542372947
2023-12-20,0.59,-0.032786885245901676
2023-12-19,0.61,0.07017543859649122
2023-12-18,0.57,0.07547169811320731
2023-12-15,0.53,-0.036363636363636376
2023-12-14,0.55,-0.5258620689655171
2023-12-13,1.16,1.0
2023-12-12,0.58,0.09433962264150941
2023-12-11,0.53,-0.0535714285714286
2023-12-08,0.56,-0.05084745762711851
2023-12-07,0.59,0.0
2023-12-06,0.59,0.03508771929824572
2023-12-05,0.57,0.07547169811320731
2023-12-04,0.53,0.03921568627450989
2023-12-01,0.51,-0.1499999999999999
2023-11-30,0.6,0.09090909090909083
2023-11-29,0.55,-0.30379746835443033
2023-11-28,0.79,-0.09195402298850575
2023-11-27,0.87,-0.04395604395604402
2023-11-24,0.91,0.16666666666666674
2023-11-22,0.78,-0.2909090909090909
2023-11-21,1.1,1.0754716981132075
2023-11-20,0.53,-0.01851851851851849
2023-11-17,0.54,-0.15625
2023-11-16,0.64,0.3333333333333335
2023-11-15,0.48,-0.3513513513513513
2023-11-14,0.74,-0.15909090909090906
2023-11-13,0.88,-0.1456310679611651
2023-11-10,1.03,0.1976744186046513
2023-11-09,0.86,-0.27118644067796605
2023-11-08,1.18,0.8153846153846152
2023-11-07,0.65,-0.15584415584415579
2023-11-06,0.77,0.4259259259259258
2023-11-03,0.54,-0.2987012987012987
2023-11-02,0.77,0.10000000000000009
2023-11-01,0.7,-0.14634146341463417
2023-10-31,0.82,0.2058823529411764
2023-10-30,0.68,-0.1707317073170731
2023-10-27,0.82,0.06493506493506485
2023-10-26,0.77,-0.1444444444444445
2023-10-25,0.9,0.6363636363636362
2023-10-24,0.55,0.05769230769230771
2023-10-23,0.52,-0.3157894736842105
2023-10-20,0.76,-0.02564102564102566
2023-10-19,0.78,0.1470588235294117
2023-10-18,0.68,-0.15000000000000002
2023-10-17,0.8,0.14285714285714302
2023-10-16,0.7,0.0
2023-10-13,0.7,-0.1250000000000001
2023-10-12,0.8,-0.23076923076923073
2023-10-11,1.04,0.6507936507936509
2023-10-10,0.63,-0.045454545454545525
2023-10-09,0.66,-0.02941176470588236
2023-10-06,0.68,-0.20930232558139528
2023-10-05,0.86,-0.22522522522522526
2023-10-04,1.11,0.38749999999999996
2023-10-03,0.8,0.05263157894736836
2023-10-02,0.76,0.041095890410958846
2023-09-29,0.73,-0.08750000000000002
2023-09-28,0.8,-0.14893617021276584
2023-09-27,0.94,0.06818181818181812
2023-09-26,0.88,0.23943661971830998
2023-09-25,0.71,-0.16470588235294115
2023-09-22,0.85,-0.03409090909090917
2023-09-21,0.88,0.11392405063291133
2023-09-20,0.79,0.03947368421052633
2023-09-19,0.76,0.24590163934426235
2023-09-18,0.61,-0.12857142857142856
2023-09-15,0.7,-0.17647058823529416
2023-09-14,0.85,-0.2543859649122806
2023-09-13,1.14,0.357142857142857
2023-09-12,0.84,0.19999999999999996
2023-09-11,0.7,-0.06666666666666676
2023-09-08,0.75,-0.07407407407407418
2023-09-07,0.81,-0.173469387755102
2023-09-06,0.98,0.32432432432432434
2023-09-05,0.74,0.1384615384615384
2023-09-01,0.65,-0.02985074626865669
2023-08-31,0.67,-0.22093023255813948
2023-08-30,0.86,0.24637681159420288
2023-08-29,0.69,-0.10389610389610393
2023-08-28,0.77,-0.2061855670103092
2023-08-25,0.97,0.22784810126582267
2023-08-24,0.79,-0.1123595505617977
2023-08-23,0.89,0.3088235294117647
2023-08-22,0.68,0.23636363636363633
2023-08-21,0.55,-0.2763157894736842
2023-08-18,0.76,-0.21649484536082475
2023-08-17,0.97,-0.058252427184466105
2023-08-16,1.03,0.3733333333333333
2023-08-15,0.75,0.0714285714285714
2023-08-14,0.7,-0.1250000000000001
2023-08-11,0.8,0.14285714285714302
2023-08-10,0.7,0.02941176470588225
2023-08-09,0.68,0.04615384615384621
2023-08-08,0.65,0.0
2023-08-07,0.65,-0.015151515151515138
2023-08-04,0.66,0.06451612903225823
2023-08-03,0.62,0.0
2023-08-02,0.62,0.06896551724137945
2023-08-01,0.58,0.03571428571428559
2023-07-31,0.56,-0.21126760563380276
2023-07-28,0.71,0.26785714285714257
2023-07-27,0.56,0.0181818181818183
2023-07-26,0.55,-0.051724137931034364
2023-07-25,0.58,0.15999999999999992
2023-07-24,0.5,-0.1071428571428572
2023-07-21,0.56,-0.08196721311475397
2023-07-20,0.61,0.27083333333333326
2023-07-19,0.48,-0.040000000000000036
2023-07-18,0.5,-0.1071428571428572
2023-07-17,0.56,0.16666666666666674
2023-07-14,0.48,0.0
2023-07-13,0.48,-0.07692307692307698
2023-07-12,0.52,0.33333333333333326
2023-07-11,0.39,-0.23529411764705876
2023-07-10,0.51,-0.019230769230769273
2023-07-07,0.52,-0.08771929824561397
2023-07-06,0.57,-0.017241379310344862
2023-07-05,0.58,0.1153846153846152
2023-07-03,0.52,-0.018867924528301883
2023-06-30,0.53,-0.08620689655172398
2023-06-29,0.58,-0.016949152542372947
2023-06-28,0.59,0.13461538461538458
2023-06-27,0.52,-0.054545454545454564
2023-06-26,0.55,-0.140625
2023-06-23,0.64,0.0
2023-06-22,0.64,0.2075471698113207
2023-06-21,0.53,0.06000000000000005
2023-06-20,0.5,0.08695652173913038
2023-06-16,0.46,-0.11538461538461542
2023-06-15,0.52,-0.29729729729729726
2023-06-14,0.74,0.3214285714285714
2023-06-13,0.56,0.0769230769230771
2023-06-12,0.52,0.040000000000000036
2023-06-09,0.5,-0.13793103448275856
2023-06-08,0.58,-0.016949152542372947
2023-06-07,0.59,0.07272727272727253
2023-06-06,0.55,-0.0350877192982455
2023-06-05,0.57,0.09615384615384603
2023-06-02,0.52,-0.10344827586206884
2023-06-01,0.58,-0.28395061728395077
2023-05-31,0.81,0.5882352941176472
2023-05-30,0.51,-0.037735849056603765
2023-05-26,0.53,-0.0535714285714286
2023-05-25,0.56,-0.2727272727272727
2023-05-24,0.77,0.30508474576271194
2023-05-23,0.59,0.09259259259259256
2023-05-22,0.54,-0.0357142857142857
2023-05-19,0.56,-0.1384615384615384
2023-05-18,0.65,-0.044117647058823595
2023-05-17,0.68,0.0
2023-05-16,0.68,0.2142857142857142
2023-05-15,0.56,-0.19999999999999984
2023-05-12,0.7,0.04477611940298498
2023-05-11,0.67,-0.014705882352941235
2023-05-10,0.68,0.014925373134328401
2023-05-09,0.67,-0.08219178082191769
2023-05-08,0.73,0.05797101449275366
2023-05-05,0.69,-0.1585365853658537
2023-05-04,0.82,0.09333333333333327
2023-05-03,0.75,-0.03846153846153855
2023-05-02,0.78,0.11428571428571432
2023-05-01,0.7,-0.07894736842105265
2023-04-28,0.76,0.08571428571428585
2023-04-27,0.7,-0.1954022988505748
2023-04-26,0.87,-0.033333333333333326
2023-04-25,0.9,0.5789473684210529
2023-04-24,0.57,-0.06557377049180335
2023-04-21,0.61,-0.17567567567567566
2023-04-20,0.74,-0.07500000000000007
2023-04-19,0.8,0.25
2023-04-18,0.64,-0.015384615384615441
2023-04-17,0.65,0.0
2023-04-14,0.65,0.048387096774193505
2023-04-13,0.62,-0.11428571428571421
2023-04-12,0.7,0.24999999999999978
2023-04-11,0.56,-0.11111111111111105
2023-04-10,0.63,-0.08695652173913038
2023-04-06,0.69,0.045454545454545414
2023-04-05,0.66,-0.1428571428571428
2023-04-04,0.77,0.2622950819672132
2023-04-03,0.61,0.033898305084745894
2023-03-31,0.59,-0.10606060606060619
2023-03-30,0.66,0.03125
2023-03-29,0.64,-0.1351351351351351
2023-03-28,0.74,0.10447761194029836
2023-03-27,0.67,-0.08219178082191769
2023-03-24,0.73,-0.051948051948051965
2023-03-23,0.77,0.22222222222222232
2023-03-22,0.63,0.016129032258064502
2023-03-21,0.62,0.24
2023-03-20,0.5,-0.23076923076923084
2023-03-17,0.65,-0.015151515151515138
2023-03-16,0.66,-0.17500000000000004
2023-03-15,0.8,0.06666666666666665
2023-03-14,0.75,-0.013157894736842146
2023-03-13,0.76,-0.3153153153153153
2023-03-10,1.11,0.37037037037037046
2023-03-09,0.81,0.1095890410958904
2023-03-08,0.73,-0.013513513513513487
2023-03-07,0.74,0.10447761194029836
2023-03-06,0.67,0.13559322033898313
2023-03-03,0.59,-0.27160493827160503
2023-03-02,0.81,-0.1649484536082474
2023-03-01,0.97,0.4057971014492754
2023-02-28,0.69,0.045454545454545414
2023-02-27,0.66,-0.19512195121951215
2023-02-24,0.82,0.07894736842105265
