Date,PX_LAST,Rate_of_Change
2025-03-05,21.93,-0.06720544449170573
2025-03-04,23.51,0.03204565408252846
2025-03-03,22.78,0.1604686704024454
2025-02-28,19.63,-0.07098911500236627
2025-02-27,21.13,0.1062827225130889
2025-02-26,19.1,-0.016984045290787342
2025-02-25,19.43,0.023709167544784027
2025-02-24,18.98,0.04228445908841283
2025-02-21,18.21,0.16283524904214564
2025-02-20,15.66,0.025540275049116046
2025-02-19,15.27,-0.005211726384364845
2025-02-18,15.35,-0.0013012361743656164
2025-02-17,15.37,0.04062288422478
2025-02-14,14.77,-0.021854304635761546
2025-02-13,15.1,-0.049716803020767864
2025-02-12,15.89,-0.00811485642946308
2025-02-11,16.02,0.013282732447817747
2025-02-10,15.81,-0.04413542926239411
2025-02-07,16.54,0.06709677419354843
2025-02-06,15.5,-0.017121116043119833
2025-02-05,15.77,-0.08367228355607215
2025-02-04,17.21,-0.07572502685284643
2025-02-03,18.62,0.1332927571515521
2025-01-31,16.43,0.037247474747474696
2025-01-30,15.84,-0.04347826086956519
2025-01-29,16.56,0.009140767824497242
2025-01-28,16.41,-0.08324022346368709
2025-01-27,17.9,0.20538720538720523
2025-01-24,14.85,-0.011318242343541951
2025-01-23,15.02,-0.005298013245033095
2025-01-22,15.1,0.0026560424966799445
2025-01-21,15.06,-0.04743833017077803
2025-01-20,15.81,-0.010018785222291826
2025-01-17,15.97,-0.03795180722891567
2025-01-16,16.6,0.02977667493796532
2025-01-15,16.12,-0.13842864778193475
2025-01-14,18.71,-0.025013027618551398
2025-01-13,19.19,-0.017911975435005
2025-01-10,19.54,0.08135030437188706
2025-01-09,18.07,0.02090395480226004
2025-01-08,17.7,-0.006734006734006814
2025-01-07,17.82,0.11097256857855364
2025-01-06,16.04,-0.0055796652200867936
2025-01-03,16.13,-0.10039040713887348
2025-01-02,17.93,0.033429394812680036
2024-12-31,17.35,-0.002873563218390607
2024-12-30,17.4,0.09090909090909083
2024-12-27,15.95,0.08282416836388307
2024-12-26,14.73,0.03223545900490543
2024-12-24,14.27,-0.14958283671036954
2024-12-23,16.78,-0.08605664488017417
2024-12-20,18.36,-0.2378580323785804
2024-12-19,24.09,-0.12780593772628535
2024-12-18,27.62,0.7403906742281035
2024-12-17,15.87,0.08032675289312463
2024-12-16,14.69,0.06372194062273717
2024-12-13,13.81,-0.007902298850574696
2024-12-12,13.92,0.025036818851251752
2024-12-11,13.58,-0.042313117066290484
2024-12-10,14.18,-0.0007047216349541641
2024-12-09,14.19,0.11119812059514489
2024-12-06,12.77,-0.05686853766617428
2024-12-05,13.54,0.006691449814126393
2024-12-04,13.45,0.011278195488721776
2024-12-03,13.3,-0.0029985007496251548
2024-12-02,13.34,-0.012583271650629113
2024-11-29,13.51,-0.028057553956834624
2024-11-28,13.9,-0.014184397163120477
2024-11-27,14.1,0.0
2024-11-26,14.1,-0.03424657534246578
2024-11-25,14.6,-0.04199475065616798
2024-11-22,15.24,-0.0966212211025489
2024-11-21,16.87,-0.0168997668997668
2024-11-20,17.16,0.04954128440366956
2024-11-19,16.35,0.04942233632862658
2024-11-18,15.58,-0.03469640644361838
2024-11-15,16.14,0.12788259958071269
2024-11-14,14.31,0.020684736091298284
2024-11-13,14.02,-0.04690686607749839
2024-11-12,14.71,-0.01736806947227787
2024-11-11,14.97,0.002008032128514081
2024-11-08,14.94,-0.017105263157894735
2024-11-07,15.2,-0.06576521204671171
2024-11-06,16.27,-0.2059541239629087
2024-11-05,20.49,-0.06778889899909013
2024-11-04,21.98,0.004570383912248621
2024-11-01,21.88,-0.05526770293609673
2024-10-31,23.16,0.1380835380835379
2024-10-30,20.35,0.05222337125129273
2024-10-29,19.34,-0.02323232323232327
2024-10-28,19.8,-0.026069847515986067
2024-10-25,20.33,0.06551362683438167
2024-10-24,19.08,-0.008316008316008316
2024-10-23,19.24,0.05714285714285716
2024-10-22,18.2,-0.009254218835057282
2024-10-21,18.37,0.01885745978924014
2024-10-18,18.03,-0.05651491365777073
2024-10-17,19.11,-0.02400408580183855
2024-10-16,19.58,-0.05135658914728691
2024-10-15,20.64,0.0477157360406093
2024-10-14,19.7,-0.03714565004887593
2024-10-11,20.46,-0.022455805064500622
2024-10-10,20.93,0.003355704697986628
2024-10-09,20.86,-0.026143790849673332
2024-10-08,21.42,-0.05388692579505294
2024-10-07,22.64,0.17855283706402902
2024-10-04,19.21,-0.06246949731576368
2024-10-03,20.49,0.08412698412698405
2024-10-02,18.9,-0.018691588785046842
2024-10-01,19.26,0.151225343693963
2024-09-30,16.73,-0.013561320754717054
2024-09-27,16.96,0.10344827586206917
2024-09-26,15.37,-0.002595717066839809
2024-09-25,15.41,0.001299545159194171
2024-09-24,15.39,-0.03146633102580243
2024-09-23,15.89,-0.01609907120743026
2024-09-20,16.15,-0.01102265768524191
2024-09-19,16.33,-0.1042238069116842
2024-09-18,18.23,0.035207268597387875
2024-09-17,17.61,0.02742123687281217
2024-09-16,17.14,0.035024154589372136
2024-09-13,16.56,-0.02987697715289994
2024-09-12,17.07,-0.035048049745619037
2024-09-11,17.69,-0.07285115303983214
2024-09-10,19.08,-0.019023136246786643
2024-09-09,19.45,-0.13092046470062557
2024-09-06,22.38,0.12462311557788941
2024-09-05,19.9,-0.06660412757973744
2024-09-04,21.32,0.02895752895752901
2024-09-03,20.72,0.3324758842443729
2024-09-02,15.55,0.036666666666666625
2024-08-30,15.0,-0.04153354632587858
2024-08-29,15.65,-0.08533021624780823
2024-08-28,17.11,0.10887880751782242
2024-08-27,15.43,-0.04458204334365323
2024-08-26,16.15,0.01828499369482972
2024-08-23,15.86,-0.09629629629629632
2024-08-22,17.55,0.07867240319606639
2024-08-21,16.27,0.024559193954659886
2024-08-20,15.88,0.08395904436860069
2024-08-19,14.65,-0.010135135135135198
2024-08-16,14.8,-0.028233749179251477
2024-08-15,15.23,-0.0592958616429895
2024-08-14,16.19,-0.10651214128035313
2024-08-13,18.12,-0.12506035731530663
2024-08-12,20.71,0.016691212567501168
2024-08-09,20.37,-0.14375788146279944
2024-08-08,23.79,-0.1457809694793537
2024-08-07,27.85,0.0050523276795380045
2024-08-06,27.71,-0.2815659839253305
2024-08-05,38.57,0.648995297135528
2024-08-02,23.39,0.25820333512641214
2024-08-01,18.59,0.13630806845965782
2024-07-31,16.36,-0.07518371961560211
2024-07-30,17.69,0.06566265060240961
2024-07-29,16.6,0.01281269066503965
2024-07-26,16.39,-0.11213434452871074
2024-07-25,18.46,0.0232815964523283
2024-07-24,18.04,0.2255434782608694
2024-07-23,14.72,-0.012743125419181767
2024-07-22,14.91,-0.09745762711864403
2024-07-19,16.52,0.03703703703703698
2024-07-18,15.93,0.10013812154696122
2024-07-17,14.48,0.09780136467020473
2024-07-16,13.19,0.005335365853658569
2024-07-15,13.12,0.052969502407704594
2024-07-12,12.46,-0.035603715170278605
2024-07-11,12.92,0.005447470817120603
2024-07-10,12.85,0.027178257394084637
2024-07-09,12.51,0.011317704122878025
2024-07-08,12.37,-0.008814102564102644
2024-07-05,12.48,0.01794453507340954
2024-07-04,12.26,0.014061207609594728
2024-07-03,12.09,0.004987531172069959
2024-07-02,12.03,-0.0155482815057284
2024-07-01,12.22,-0.01768488745980701
2024-06-28,12.44,0.016339869281045694
2024-06-27,12.24,-0.024701195219123506
2024-06-26,12.55,-0.02258566978193144
2024-06-25,12.84,-0.03675918979744941
2024-06-24,13.33,0.009848484848484995
2024-06-21,13.2,-0.0060240963855421326
2024-06-20,13.28,0.0641025641025641
2024-06-19,12.48,0.014634146341463428
2024-06-18,12.3,-0.03529411764705881
2024-06-17,12.75,0.007109004739336511
2024-06-14,12.66,0.06030150753768848
2024-06-13,11.94,-0.00830564784053156
2024-06-12,12.04,-0.06303501945525292
2024-06-11,12.85,0.008634222919937207
2024-06-10,12.74,0.042553191489361764
2024-06-07,12.22,-0.02861685214626386
2024-06-06,12.58,-0.003958828186856778
2024-06-05,12.63,-0.04027355623100304
2024-06-04,13.16,0.0038138825324181003
2024-06-03,13.11,0.014705882352941124
2024-05-31,12.92,-0.10711817553559089
2024-05-30,14.47,0.013305322128851715
2024-05-29,14.28,0.10526315789473673
2024-05-28,12.92,0.04530744336569592
2024-05-27,12.36,0.03604358759430015
2024-05-24,11.93,-0.06577916992952226
2024-05-23,12.77,0.039056143205858485
2024-05-22,12.29,0.036256323777402955
2024-05-21,11.86,-0.023868312757201693
2024-05-20,12.15,0.01334445371142623
2024-05-17,11.99,-0.0346215780998389
2024-05-16,12.42,-0.002409638554216831
2024-05-15,12.45,-0.07228017883755589
2024-05-14,13.42,-0.013235294117647012
2024-05-13,13.6,0.08366533864541825
2024-05-10,12.55,-0.011032308904649235
2024-05-09,12.69,-0.02384615384615385
2024-05-08,13.0,-0.017384731670445963
2024-05-07,13.23,-0.01927353595255743
2024-05-06,13.49,0.0
2024-05-03,13.49,-0.08106267029972747
2024-05-02,14.68,-0.046133853151397064
2024-05-01,15.39,-0.016613418530351476
2024-04-30,15.65,0.06680299931833678
2024-04-29,14.67,-0.0239520958083832
2024-04-26,15.03,-0.022121014964216035
2024-04-25,15.37,-0.037570444583594376
2024-04-24,15.97,0.017845761631612556
2024-04-23,15.69,-0.0737898465171194
2024-04-22,16.94,-0.09460181721004812
2024-04-19,18.71,0.03944444444444439
2024-04-18,18.0,-0.011532125205930832
2024-04-17,18.21,-0.010326086956521596
2024-04-16,18.4,-0.0431617264690588
2024-04-15,19.23,0.11091854419410763
2024-04-12,17.31,0.16096579476861161
2024-04-11,14.91,-0.05632911392405071
2024-04-10,15.8,0.05473965287049398
2024-04-09,14.98,-0.013824884792626668
2024-04-08,15.19,-0.05240174672489095
2024-04-05,16.03,-0.01957186544342504
2024-04-04,16.35,0.14096301465457084
2024-04-03,14.33,-0.019164955509924697
2024-04-02,14.61,0.0703296703296703
2024-04-01,13.65,0.04919292851652579
2024-03-28,13.01,0.017996870109546093
2024-03-27,12.78,-0.03474320241691853
2024-03-26,13.24,0.0037907505686125553
2024-03-25,13.19,0.009954058192955584
2024-03-22,13.06,0.010835913312693624
2024-03-21,12.92,-0.009202453987730008
2024-03-20,13.04,-0.05643994211287995
2024-03-19,13.82,-0.03558967201674812
2024-03-18,14.33,-0.005551700208188737
2024-03-15,14.41,0.000694444444444331
2024-03-14,14.4,0.047272727272727355
2024-03-13,13.75,-0.006502890173410436
2024-03-12,13.84,-0.09067017082785811
2024-03-11,15.22,0.03256445047489831
2024-03-08,14.74,0.020775623268698196
2024-03-07,14.44,-0.004137931034482789
2024-03-06,14.5,0.0027662517289073207
2024-03-05,14.46,0.0719051148999259
2024-03-04,13.49,0.02898550724637694
2024-03-01,13.11,-0.02164179104477615
2024-02-29,13.4,-0.03179190751445082
2024-02-28,13.84,0.03052866716306779
2024-02-27,13.43,-0.022561863173216956
2024-02-26,13.74,-0.0007272727272726875
2024-02-23,13.75,-0.054332874828060485
2024-02-22,14.54,-0.052151238591916615
2024-02-21,15.34,-0.005188067444876765
2024-02-20,15.42,0.048266485384092395
2024-02-19,14.71,0.03300561797752821
2024-02-16,14.24,0.016416845110635236
2024-02-15,14.01,-0.025730180806675995
2024-02-14,14.38,-0.0927444794952681
2024-02-13,15.85,0.13783201722900218
2024-02-12,13.93,0.07733952049497295
2024-02-09,12.93,0.01094605160281481
2024-02-08,12.79,-0.003117692907248726
2024-02-07,12.83,-0.01761102603369069
2024-02-06,13.06,-0.044623262618873394
2024-02-05,13.67,-0.012996389891696714
2024-02-02,13.85,-0.002161383285302687
2024-02-01,13.88,-0.032752613240418005
2024-01-31,14.35,0.07813673929376397
2024-01-30,13.31,-0.02132352941176463
2024-01-29,13.6,0.02564102564102555
2024-01-26,13.26,-0.014126394052044522
2024-01-25,13.45,0.023592085235920823
2024-01-24,13.14,0.04701195219123511
2024-01-23,12.55,-0.04852160727824095
2024-01-22,13.19,-0.008270676691729428
2024-01-19,13.3,-0.05874026893135176
2024-01-18,14.13,-0.04462474645030412
2024-01-17,14.79,0.0686416184971097
2024-01-16,13.84,0.044528301886792354
2024-01-15,13.25,0.04330708661417337
2024-01-12,12.7,0.020900321543408262
2024-01-11,12.44,-0.01970055161544526
2024-01-10,12.69,-0.005485893416927956
2024-01-09,12.76,-0.024464831804281384
2024-01-08,13.08,-0.020224719101123556
2024-01-05,13.35,-0.05520169851380052
2024-01-04,14.13,0.0064102564102566095
2024-01-03,14.04,0.06363636363636371
2024-01-02,13.2,0.06024096385542177
2023-12-29,12.45,-0.0016038492381716951
2023-12-28,12.47,0.0032180209171359664
2023-12-27,12.43,-0.043110084680523464
2023-12-26,12.99,-0.003069838833461125
2023-12-22,13.03,-0.04542124542124548
2023-12-21,13.65,-0.001463057790782707
2023-12-20,13.67,0.0909816440542699
2023-12-19,12.53,-0.0023885350318472165
2023-12-18,12.56,0.0228013029315961
2023-12-15,12.28,-0.01602564102564108
2023-12-14,12.48,0.02378999179655472
2023-12-13,12.19,0.009942004971002394
2023-12-12,12.07,-0.04433887569279493
2023-12-11,12.63,0.02267206477732797
2023-12-08,12.35,-0.054364471669219094
2023-12-07,13.06,0.006939090208172738
2023-12-06,12.97,0.009338521400778177
2023-12-05,12.85,-0.01758409785932724
2023-12-04,13.08,0.03562945368171011
2023-12-01,12.63,-0.02244582043343646
2023-11-30,12.92,-0.0046224961479198745
2023-11-29,12.98,0.022852639873916614
2023-11-28,12.69,0.0
2023-11-27,12.69,0.01845906902086658
2023-11-24,12.46,-0.026562499999999933
2023-11-23,12.8,-0.0038910505836574627
2023-11-22,12.85,-0.03745318352059923
2023-11-21,13.35,-0.004474272930648837
2023-11-20,13.41,-0.02826086956521745
2023-11-17,13.8,-0.03631284916201116
2023-11-16,14.32,0.009873060648801113
2023-11-15,14.18,0.0014124293785311437
2023-11-14,14.16,-0.04065040650406504
2023-11-13,14.76,0.04163726182074812
2023-11-10,14.17,-0.07325049051667754
2023-11-09,15.29,0.05813148788927336
2023-11-08,14.45,-0.024307900067522037
2023-11-07,14.81,-0.005372733378106065
2023-11-06,14.89,-0.0013413816230717357
2023-11-03,14.91,-0.04789272030651337
2023-11-02,15.66,-0.071724955542383
2023-11-01,16.87,-0.07001102535832415
2023-10-31,18.14,-0.0815189873417721
2023-10-30,19.75,-0.07146215326751293
2023-10-27,21.27,0.02852998065764023
2023-10-26,20.68,0.024269440316988522
2023-10-25,20.19,0.0643120716921457
2023-10-24,18.97,-0.06872852233676985
2023-10-23,20.37,-0.06172270842929528
2023-10-20,21.71,0.014485981308411278
2023-10-19,21.4,0.11342351716961496
2023-10-18,19.22,0.07494407158836691
2023-10-17,17.88,0.03893085415456121
2023-10-16,17.21,-0.10921325051759834
2023-10-13,19.32,0.15757938885560208
2023-10-12,16.69,0.03729024238657552
2023-10-11,16.09,-0.05519671168526141
2023-10-10,17.03,-0.03785310734463265
2023-10-09,17.7,0.014326647564469885
2023-10-06,17.45,-0.05624661979448342
2023-10-05,18.49,-0.004843918191603902
2023-10-04,18.58,-0.06066734074823066
2023-10-03,19.78,0.12322544009085767
2023-10-02,17.61,0.005136986301369939
2023-09-29,17.52,0.01038062283737018
2023-09-28,17.34,-0.04829857299670681
2023-09-27,18.22,-0.03801478352692722
2023-09-26,18.94,0.12071005917159772
2023-09-25,16.9,-0.01744186046511631
2023-09-22,17.2,-0.019384264538198415
2023-09-21,17.54,0.15852047556142668
2023-09-20,15.14,0.07299787384833456
2023-09-19,14.11,0.007857142857142785
2023-09-18,14.0,0.015228426395939243
2023-09-15,13.79,0.07566302652106072
2023-09-14,12.82,-0.04896142433234418
2023-09-13,13.48,-0.05270555165144064
2023-09-12,14.23,0.031159420289855078
2023-09-11,13.8,-0.0028901734104045396
