Date,Return on Common Equity,Return on Assets,Return on Invested Capital,EBITDA Margin,Operating Margin,Net Income Margin,EPS Diluted,Dividend per Share,Current Ratio,Quick Ratio,Return on Common Equity_roc,Return on Assets_roc,Return on Invested Capital_roc,EBITDA Margin_roc,Operating Margin_roc,Net Income Margin_roc,EPS Diluted_roc,Dividend per Share_roc,Current Ratio_roc,Quick Ratio_roc
2019-09-27 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-09-28 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-09-29 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-09-30 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-01 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-02 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-03 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-04 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-05 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-06 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-07 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-08 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-09 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-10 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-11 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-12 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-13 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-14 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-15 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-16 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-17 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
2019-10-18 00:00:00,41.9071,8.8899,12.3742,30.1041,26.2859,27.2746,36.3636,2.5641,0.921,0.6909,0,0,0,0,0,0,0,0,0,0
