Date,Accts Payable,Rate of Change (%)
2020-01-01,12766.0,0.0
2020-01-02,12766.0,0.0
2020-01-03,12766.0,0.0
2020-01-04,12766.0,0.0
2020-01-05,12766.0,0.0
2020-01-06,12766.0,0.0
2020-01-07,12766.0,0.0
2020-01-08,12766.0,0.0
2020-01-09,12766.0,0.0
2020-01-10,12766.0,0.0
2020-01-11,12766.0,0.0
2020-01-12,12766.0,0.0
2020-01-13,12766.0,0.0
2020-01-14,12766.0,0.0
2020-01-15,12766.0,0.0
2020-01-16,12766.0,0.0
2020-01-17,12766.0,0.0
2020-01-18,12766.0,0.0
2020-01-19,12766.0,0.0
2020-01-20,12766.0,0.0
2020-01-21,12766.0,0.0
2020-01-22,12766.0,0.0
2020-01-23,12766.0,0.0
2020-01-24,12766.0,0.0
2020-01-25,12766.0,0.0
2020-01-26,12766.0,0.0
2020-01-27,12766.0,0.0
2020-01-28,12766.0,0.0
2020-01-29,12766.0,0.0
2020-01-30,12766.0,0.0
2020-01-31,12766.0,0.0
2020-02-01,12766.0,0.0
2020-02-02,12766.0,0.0
2020-02-03,12766.0,0.0
2020-02-04,12766.0,0.0
2020-02-05,12766.0,0.0
2020-02-06,12766.0,0.0
2020-02-07,12766.0,0.0
2020-02-08,12766.0,0.0
2020-02-09,12766.0,0.0
2020-02-10,12766.0,0.0
2020-02-11,12766.0,0.0
2020-02-12,12766.0,0.0
2020-02-13,12766.0,0.0
2020-02-14,12766.0,0.0
2020-02-15,12766.0,0.0
2020-02-16,12766.0,0.0
2020-02-17,12766.0,0.0
2020-02-18,12766.0,0.0
2020-02-19,12766.0,0.0
2020-02-20,12766.0,0.0
2020-02-21,12766.0,0.0
2020-02-22,12766.0,0.0
2020-02-23,12766.0,0.0
2020-02-24,12766.0,0.0
2020-02-25,12766.0,0.0
2020-02-26,12766.0,0.0
2020-02-27,12766.0,0.0
2020-02-28,12766.0,0.0
2020-02-29,12766.0,0.0
2020-03-01,12766.0,0.0
2020-03-02,12766.0,0.0
2020-03-03,12766.0,0.0
2020-03-04,12766.0,0.0
