Date,Shares Outstanding,Rate of Change (%)
2020-01-01,4294.0,0.0
2020-01-02,4294.0,0.0
2020-01-03,4294.0,0.0
2020-01-04,4294.0,0.0
2020-01-05,4294.0,0.0
2020-01-06,4294.0,0.0
2020-01-07,4294.0,0.0
2020-01-08,4294.0,0.0
2020-01-09,4294.0,0.0
2020-01-10,4294.0,0.0
2020-01-11,4294.0,0.0
2020-01-12,4294.0,0.0
2020-01-13,4294.0,0.0
2020-01-14,4294.0,0.0
2020-01-15,4294.0,0.0
2020-01-16,4294.0,0.0
2020-01-17,4294.0,0.0
2020-01-18,4294.0,0.0
2020-01-19,4294.0,0.0
2020-01-20,4294.0,0.0
2020-01-21,4294.0,0.0
2020-01-22,4294.0,0.0
2020-01-23,4294.0,0.0
2020-01-24,4294.0,0.0
2020-01-25,4294.0,0.0
2020-01-26,4294.0,0.0
2020-01-27,4294.0,0.0
2020-01-28,4294.0,0.0
2020-01-29,4294.0,0.0
2020-01-30,4294.0,0.0
2020-01-31,4294.0,0.0
2020-02-01,4294.0,0.0
2020-02-02,4294.0,0.0
2020-02-03,4294.0,0.0
2020-02-04,4294.0,0.0
2020-02-05,4294.0,0.0
2020-02-06,4294.0,0.0
2020-02-07,4294.0,0.0
2020-02-08,4294.0,0.0
2020-02-09,4294.0,0.0
2020-02-10,4294.0,0.0
2020-02-11,4294.0,0.0
2020-02-12,4294.0,0.0
2020-02-13,4294.0,0.0
2020-02-14,4294.0,0.0
2020-02-15,4294.0,0.0
2020-02-16,4294.0,0.0
2020-02-17,4294.0,0.0
2020-02-18,4294.0,0.0
2020-02-19,4294.0,0.0
2020-02-20,4294.0,0.0
2020-02-21,4294.0,0.0
2020-02-22,4294.0,0.0
2020-02-23,4294.0,0.0
2020-02-24,4294.0,0.0
2020-02-25,4294.0,0.0
2020-02-26,4294.0,0.0
2020-02-27,4294.0,0.0
2020-02-28,4294.0,0.0
2020-02-29,4294.0,0.0
2020-03-01,4294.0,0.0
2020-03-02,4294.0,0.0
2020-03-03,4294.0,0.0
2020-03-04,4294.0,0.0
2020-03-05,4294.0,0.0
2020-03-06,4294.0,0.0
2020-03-07,4294.0,0.0
2020-03-08,4294.0,0.0
2020-03-09,4294.0,0.0
2020-03-10,4294.0,0.0
2020-03-11,4294.0,0.0
2020-03-12,4294.0,0.0
2020-03-13,4294.0,0.0
2020-03-14,4294.0,0.0
2020-03-15,4294.0,0.0
2020-03-16,4294.0,0.0
2020-03-17,4294.0,0.0
2020-03-18,4294.0,0.0
2020-03-19,4294.0,0.0
2020-03-20,4294.0,0.0
2020-03-21,4294.0,0.0
2020-03-22,4294.0,0.0
2020-03-23,4294.0,0.0
2020-03-24,4294.0,0.0
2020-03-25,4294.0,0.0
2020-03-26,4294.0,0.0
2020-03-27,4294.0,0.0
2020-03-28,4294.010989010989,0.00025591548646897166
2020-03-29,4294.021978021978,0.00025591483154840944
2020-03-30,4294.0329670329675,0.00025591417665005167
2020-03-31,4294.043956043956,0.000255913521707285
2020-04-01,4294.054945054945,0.00025591286678672276
2020-04-02,4294.065934065934,0.00025591221186616053
2020-04-03,4294.076923076923,0.00025591155696780277
2020-04-04,4294.087912087912,0.00025591090204724054
2020-04-05,4294.0989010989015,0.00025591024717108724
2020-04-06,4294.10989010989,0.000255909592250525
2020-04-07,4294.120879120879,0.00025590893735216724
2020-04-08,4294.131868131868,0.00025590828247601394
2020-04-09,4294.142857142857,0.00025590762757765617
2020-04-10,4294.153846153846,0.00025590697270150287
2020-04-11,4294.1648351648355,0.00025590631782534956
2020-04-12,4294.175824175824,0.0002559056629269918
2020-04-13,4294.186813186813,0.0002559050080508385
2020-04-14,4294.197802197802,0.0002559043531746852
2020-04-15,4294.208791208791,0.00025590369832073634
2020-04-16,4294.219780219781,0.0002559030434667875
2020-04-17,4294.2307692307695,0.0002559023885906342
2020-04-18,4294.241758241758,0.00025590173373668534
2020-04-19,4294.252747252747,0.0002559010788827365
2020-04-20,4294.263736263736,0.00025590042402878765
2020-04-21,4294.274725274725,0.0002558997691748388
2020-04-22,4294.285714285715,0.0002558991143430944
2020-04-23,4294.2967032967035,0.0002558984594891456
2020-04-24,4294.307692307692,0.0002558978046574012
2020-04-25,4294.318681318681,0.00025589714980345235
2020-04-26,4294.32967032967,0.00025589649497170797
2020-04-27,4294.340659340659,0.00025589584016216804
2020-04-28,4294.351648351649,0.0002558951853526281
2020-04-29,4294.3626373626375,0.0002558945304986793
2020-04-30,4294.373626373626,0.00025589387568913935
2020-05-01,4294.384615384615,0.0002558932208795994
2020-05-02,4294.395604395604,0.0002558925660700595
2020-05-03,4294.406593406594,0.00025589191128272404
2020-05-04,4294.417582417583,0.00025589125645097965
2020-05-05,4294.428571428572,0.00025589060164143973
2020-05-06,4294.43956043956,0.00025588994685410427
2020-05-07,4294.450549450549,0.00025588929204456434
2020-05-08,4294.461538461538,0.0002558886372572289
2020-05-09,4294.472527472528,0.0002558879824920979
2020-05-10,4294.483516483517,0.00025588732768255795
2020-05-11,4294.494505494506,0.00025588667291742695
2020-05-12,4294.505494505494,0.0002558860181300915
2020-05-13,4294.516483516483,0.000255885363342756
2020-05-14,4294.527472527472,0.000255884708577625
2020-05-15,4294.538461538462,0.0002558840538346985
2020-05-16,4294.549450549451,0.000255883399047363
2020-05-17,4294.56043956044,0.000255882744282232
2020-05-18,4294.571428571428,0.00025588208953930547
2020-05-19,4294.582417582417,0.00025588143477417447
2020-05-20,4294.593406593406,0.0002558807800312479
2020-05-21,4294.604395604396,0.0002558801252883214
2020-05-22,4294.615384615385,0.0002558794705231904
2020-05-23,4294.626373626374,0.00025587881578026384
2020-05-24,4294.6373626373625,0.00025587816105954175
