Period,Threshold,Buy_F1,Sell_F1,Hold_F1
9,0.01,0.12949640287769784,0.4148148148148148,0.06315789473684211
9,0.02,0.1553398058252427,0.34408602150537637,0.6623376623376623
9,0.03,0.0,0.037037037037037035,0.759493670886076
9,0.04,0.0,0.0,0.9322033898305084
9,0.05,0.0,0.0,0.9629629629629629
9,0.06,0.0,0.0,0.9859154929577465
9,0.07,0.0,0.0,0.9940119760479041
9,0.08,0.0,0.0,1.0
9,0.09,0.0,0.0,1.0
9,0.1,0.0,0.0,1.0
20,0.01,0.4105263157894737,0.5152838427947598,0.11764705882352941
20,0.02,0.3235294117647059,0.5701754385964912,0.4142857142857143
20,0.03,0.043010752688172046,0.4807692307692308,0.6644951140065146
20,0.04,0.0,0.32558139534883723,0.848780487804878
20,0.05,0.0,0.625,0.8962264150943396
20,0.06,0.0,0.0,0.9074889867841409
20,0.07,0.0,0.3076923076923077,0.9287257019438445
20,0.08,0.0,0.0,0.9608247422680413
20,0.09,0.0,0.0,0.9838709677419355
20,0.1,0.0,0.0,0.9899799599198397
200,0.01,0.47674418604651164,0.0,0.0
200,0.02,0.48338368580060426,0.0,0.09090909090909091
200,0.03,0.41935483870967744,0.0,0.1016949152542373
200,0.04,0.0,0.0,0.5080385852090032
200,0.05,0.09090909090909091,0.0,0.31272727272727274
200,0.06,0.0,0.0,0.3695652173913043
200,0.07,0.13333333333333333,0.0,0.5952380952380952
200,0.08,0.2222222222222222,0.0,0.12903225806451613
200,0.09,0.5517241379310345,0.0,0.5562130177514792
200,0.1,0.5925925925925926,0.0,0.5895953757225434
